01c8 0000 0000 0345
01ab 0000 0000 0224
0719 0000 0000 0000
0c45 0000 0000 0000
0ba1 0944 0000 0000
05a3 0e33 0000 0000
0000 01c0 0768 0000
0000 0000 0000 0000
0016 0000 0000 0000
0560 0000 0000 0000
0506 0000 0000 0000
00b3 0000 0000 0000
10c0 13db 0000 0000
09d5 0940 0088 0000
0300 0000 0000 0000
05ba 01a5 0000 0000
0252 0000 0320 0000
0000 0000 0000 0000
00d2 0000 0378 0000
0000 0000 052a 0000
0000 0000 0000 0000
0a2f 0000 0000 0000
2363 0000 0000 0000
24e6 0000 0000 0000
184a 0000 0000 0000
04ba 0000 0703 0000
0000 0000 0380 0000
0000 0000 0000 0000
088d 0000 0000 036a
0785 0000 0000 053d
0000 0000 0000 0446
0000 0000 0000 0034
01f4 0000 0000 0000
0598 04f5 0000 0000
0924 0718 0000 0000
10a7 0000 0000 0000
13bf 0000 0000 0000
173d 0000 0000 0000
1dc6 0000 0000 0000
0f5d 0000 0000 0000
040d 0000 0000 0000
052f 0000 0000 0000
02fc 101c 0000 0000
0942 0fd3 0167 0000
0000 033b 0416 0000
0437 0191 0000 0000
0288 0000 058c 0000
0000 0000 0000 0000
0000 0000 0755 0000
0000 0000 02fc 0000
0101 0372 0000 0000
0d64 0000 0000 0000
1152 03a3 0000 0000
0e76 0294 0000 0000
0ac3 0000 0000 0000
0000 0000 0044 0000
0000 0000 03a5 0000
0000 0000 0000 0000
0000 0000 0000 0000
03f2 0000 0000 06bc
00d9 0000 0000 0672
0023 0000 0000 000c
0000 0000 0000 0000
02b3 05f1 0000 0000
0354 086c 0000 0000
073d 1774 0000 0000
0e7b 09f9 0000 0000
0e01 0000 0000 0000
0000 0000 037f 0000
0000 0510 0930 0000
0000 0000 08f8 0000
0000 03f7 0000 0000
0000 06a8 0000 0000
04e2 0a8a 0000 0000
0000 06bf 0572 0000
0458 00cf 0000 0000
00e0 0000 0409 0000
0013 0000 0000 0000
0000 0000 0833 0000
0000 0000 056f 0000
0000 124a 0000 0000
0000 05b6 0ef3 0000
0000 0d15 02a2 0000
0000 06a4 0a77 0000
0000 0000 1d9c 0000
0000 0000 0db3 0522
0000 0000 03c5 0000
0000 0682 0000 0000
015e 0000 042a 0000
0000 0000 0132 05ea
0000 0000 0000 0808
0000 0000 0000 0138
0000 0000 0000 0000
0000 0731 0000 0000
0000 082b 09c2 0000
0000 20f6 0000 0000
0000 0a69 0db3 0000
0000 0000 1a67 0000
0000 0000 0e60 0000
0000 00e0 1609 0000
0000 0000 1138 0000
0000 09b6 0625 0000
0000 0cfa 019d 0000
0000 0aae 0092 0000
0529 0412 0003 0000
03db 003a 0000 0000
0109 0000 0067 0000
0000 0000 0000 0000
02ae 0000 059d 0000
0000 0000 0552 0000
0000 0934 06ae 0000
0000 0529 1328 0000
0000 0dcf 0df4 0000
0000 09f4 199c 0000
0000 0000 212d 0000
0000 0000 0819 032f
0000 0000 0000 0000
0205 0792 0000 0000
04f9 0000 06bf 0000
0000 0000 058e 0524
0000 0000 0000 07c1
0000 0000 0000 0274
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0403 0000
0000 1dd6 0274 0000
0000 13f4 1e24 0000
0000 0000 257c 0000
0000 0000 0c14 001c
0000 0000 1157 0000
0000 0000 0ced 0000
0000 0821 09dc 0000
0000 160d 00a0 0000
0000 0dbb 0011 0000
079c 0000 0000 0000
02ae 0000 0000 0000
0410 0000 0000 0000
0181 0000 003a 0000
0000 0000 048e 0000
0000 0000 01a0 0000
0000 0000 047a 0000
0000 0063 0c75 0000
0000 0437 1588 0000
0000 0000 1a5b 0000
0000 0000 123b 0000
0000 0000 016d 012c
02cb 0000 0000 0000
097d 06a7 0000 0000
04ae 0000 0947 0000
0000 0000 05ad 0607
0000 0000 0000 0666
0000 0000 0000 02b9
0000 0000 0000 00e9
0000 0000 0000 0000
0000 0000 0436 0000
0000 0788 0bf4 0000
0000 01d9 199b 0000
0000 0000 193c 0000
0000 0000 0887 018f
0000 0000 04d1 0000
0000 0000 03b4 0000
0000 0000 03bd 0000
0062 1c0d 0000 0000
0d6c 1665 0000 0000
0e8e 0000 0000 0000
02eb 0000 0000 0000
03b2 0000 0000 0000
0463 0000 0125 0000
0000 0000 0480 0000
0000 0000 0000 01ea
0000 0000 0000 010a
0000 0000 0000 0000
0000 0000 04b3 0000
0000 0000 04df 0000
0000 0000 00d7 0000
0000 0000 0000 0000
0730 0204 0000 0000
0b91 033d 0000 0000
047d 0000 07ef 0000
0000 0000 00f4 0742
0000 0000 0000 05ee
0000 0000 0000 0329
0000 0000 0000 015a
0000 0000 0000 01dc
0000 0000 0000 0199
0000 0000 00fc 0000
0000 0000 0313 000e
0000 0000 0110 0123
0000 0000 00a5 018f
0000 0000 0000 01b5
0000 0000 0000 0000
0000 0000 0000 0000
0b23 24a8 0000 0000
13c1 17cb 00b5 0000
0af0 0006 0000 0000
0289 0000 0104 0000
01d3 028a 0000 0000
0214 0000 01c0 0000
