--- INICIO DO CALCULO DO NEURONIO ---
Tempo (ps) | Endereco | Dado (hex) | Peso (hex) | Acumulador
   9250000 |      139 |         7f |         fb |  32605
   9280000 |      140 |         79 |         15 |  31970
   9310000 |      141 |         04 |         07 | -31025
   9340000 |      142 |         61 |         09 | -30997
   9370000 |      143 |         61 |         0f | -30124
   9400000 |      144 |         e2 |         17 | -28669
   9430000 |      145 |         e2 |         24 | -29359
   9460000 |      146 |         42 |         13 | -30439
   9490000 |      147 |         75 |         f3 | -29185
   9520000 |      148 |         75 |         0c | -30706
   9550000 |      149 |         42 |         19 | -29302
   9580000 |      150 |         a4 |         1b | -27652
   9610000 |      151 |         a4 |         fe | -30136
   9640000 |      152 |         1e |         fe | -29952
   9670000 |      153 |         65 |         0d | -30012
   9700000 |      154 |         07 |         1a | -28699
   9730000 |      155 |         83 |         04 | -28517
   9760000 |      156 |         cd |         f8 | -29017
   9790000 |      157 |         cd |         fe | -28609
   9820000 |      158 |         8d |         08 | -28507
   9850000 |      159 |         93 |         14 | -29427
   9880000 |      160 |         ad |         0e | -31607
   9910000 |      161 |         c4 |         12 |  32767
   9940000 |      162 |         26 |         ef |  31687
   9970000 |      163 |         fb |         08 |  31041
  10000000 |      164 |         fb |         1b |  31001
  10030000 |      165 |         26 |         16 |  30866
  10060000 |      166 |         26 |         f1 |  31702
  10090000 |      167 |         ce |         0c |  31132
  10120000 |      168 |         32 |         14 |  30532
  10150000 |      169 |         67 |         07 |  31532
  10180000 |      170 |         64 |         f5 |  32253
  10210000 |      171 |         38 |         13 |  31153
  10240000 |      172 |         94 |         14 |  32217
  10270000 |      173 |         94 |         0b |  30057
  10300000 |      174 |         71 |         f7 |  28869
  10330000 |      175 |         9f |         18 |  27852
  10360000 |      176 |         9f |         19 |  25524
  10390000 |      177 |         b5 |         08 |  23099
  10420000 |      178 |         9f |         f6 |  22499
  10450000 |      179 |         9f |         19 |  23469
  10480000 |      180 |         af |         02 |  21044
  10510000 |      181 |         2e |         05 |  20882
  10540000 |      182 |         d4 |         0c |  21112
  10570000 |      183 |         af |         01 |  20584
  10600000 |      184 |         2e |         d9 |  20503
  10630000 |      185 |         12 |         0d |  18709
  10660000 |      186 |         7a |         0a |  18943
  10690000 |      187 |         12 |         f0 |  20163
  10720000 |      188 |         12 |         ca |  19875
  10750000 |      189 |         ac |         f8 |  18903
  10780000 |      190 |         0f |         0a |  19575
  10810000 |      191 |         00 |         ec |  19725
  10840000 |      192 |         fc |         b1 |  19725
  10870000 |      193 |         8d |         00 |  20041
  10900000 |      194 |         44 |         20 |  20041
  10930000 |      195 |         fc |         fa |  22217
  10960000 |      196 |         8d |         ba |  22241
  10990000 |      197 |         44 |         f8 |  30291
  11020000 |      198 |         d3 |         16 |  29747
  11050000 |      199 |         6e |         0c |  28757
  11080000 |      200 |         6e |         16 |  30077
  11110000 |      201 |         b4 |         fb |  32497
  11140000 |      202 |         be |         01 | -32659
  11170000 |      203 |         6c |         16 | -32725
  11200000 |      204 |         b4 |         2b | -30349
  11230000 |      205 |         be |         1a |  31919
  11260000 |      206 |         b7 |         e9 |  30203
  11290000 |      207 |         9e |         08 |  31882
  11320000 |      208 |         af |         13 |  31098
  11350000 |      209 |         af |         2c |  29559
  11380000 |      210 |         72 |         e5 |  25995
  11410000 |      211 |         af |         f5 |  22917
  11440000 |      212 |         af |         08 |  23808
  11470000 |      213 |         72 |         04 |  23160
  11500000 |      214 |         72 |         fc |  23616
  11530000 |      215 |         3a |         06 |  23160
  11560000 |      216 |         2d |         00 |  23508
  11590000 |      217 |         25 |         01 |  23508
  11620000 |      218 |         7b |         0c |  23545
  11650000 |      219 |         38 |         11 |  25021
  11680000 |      220 |         38 |         12 |  25973
  11710000 |      221 |         7b |         19 |  26981
  11740000 |      222 |         f7 |         f4 |  30056
  11770000 |      223 |         f7 |         02 |  30164
  11800000 |      224 |         cf |         0b |  30146
  11830000 |      225 |         dc |         18 |  29607
  11860000 |      226 |         dc |         e0 |  28743
  11890000 |      227 |         bc |         03 |  29895
  11920000 |      228 |         dc |         0c |  29691
  11950000 |      229 |         dc |         17 |  29259
  11980000 |      230 |         fa |         e3 |  28431
  12010000 |      231 |         7a |         0b |  28605
  12040000 |      232 |         96 |         20 |  29947
  12070000 |      233 |         fa |         1a |  26555
  12100000 |      234 |         48 |         08 |  26399
  12130000 |      235 |         39 |         1c |  26975
  12160000 |      236 |         39 |         11 |  28571
  12190000 |      237 |         43 |         16 |  29540
  12220000 |      238 |         5a |         1e |  31014
  12250000 |      239 |         b5 |         0c | -31822
  12280000 |      240 |         97 |         2f | -32722
  12310000 |      241 |         46 |         0e |  27879
  12340000 |      242 |         46 |         26 |  28859
  12370000 |      243 |         d1 |         0b |  31519
  12400000 |      244 |         d7 |         1e |  31002
  12430000 |      245 |         91 |         7f |  29772
  12460000 |      246 |         45 |         0a |  15675
  12490000 |      247 |         cb |         fc |  16365
  12520000 |      248 |         2a |         25 |  16577
  12550000 |      249 |         45 |         0c |  18131
  12580000 |      250 |         cb |         19 |  18959
  12610000 |      251 |         2a |         f8 |  17634
  12640000 |      252 |         82 |         0c |  17298
  12670000 |      253 |         63 |         cf |  15786
